published,caption,views,reach,saved,shares,comments,likes,total_interactions,permalink,media_id
2026-05-27T06:21:58+0000,Kurban Bayramınız Kutlu Olsun. ,,,,,,,,https://www.instagram.com/p/DY1PRx8K3Zu/,17970689952060879
2026-05-19T06:22:36+0000,19 Mayıs Gençlik ve Spor Bayramımız kutlu olsun.,,,,,,,,https://www.instagram.com/p/DYgo0fqqLGT/,18033894452803541
2026-04-23T06:00:05+0000,23 Nisan Ulusal Egemenlik ve Çocuk Bayramımız Kutlu Olsun!,,,,,,,,https://www.instagram.com/p/DXdpzyrif5t/,17941636278187988
2026-04-03T13:48:13+0000,Turkcell 5G reklam filmi ‘SHAQ diye’ yayında!,2354,1586,0,12,4,57,74,https://www.instagram.com/reel/DWq_Z9OAtHN/,18076060637393191
2026-03-20T05:09:14+0000,Şeker tadında bir bayram dileriz🍬  #ramazanbayramı #iyibayramlar,,,,,,,,https://www.instagram.com/p/DWGAjIDCtqv/,18066788306309409
2026-03-18T12:30:06+0000,18 Mart Çanakkale Zaferi Kutlu Olsun!,,,,,,,,https://www.instagram.com/p/DWBpuhsCqFx/,18037978988573237
2026-03-10T16:10:11+0000,İyi ki doğdun @erdmyavuz nice mutlu yıllara! 🎉,,,,,,,,https://www.instagram.com/p/DVtcluWikGS/,18094704758015590
2026-03-09T16:46:09+0000,Geniuspark’ta 8 Mart Dünya Kadınlar Günü’nü birlikte kutladık.,,,,,,,,https://www.instagram.com/p/DVq7-fRiu4i/,18326832121217976
2026-03-08T10:11:13+0000,8 Mart Dünya Kadınlar Günü Kutlu Olsun.,,,,,,,,https://www.instagram.com/p/DVnp7u5ikFH/,18034525859585394
2025-11-10T05:34:49+0000,Atamızı saygı ve özlemle anıyoruz.,,,,,,,,https://www.instagram.com/p/DQ3UjUbisSs/,18271196770304423
2025-11-09T14:49:34+0000,Zamanın ötesinden bir saygı duruşu.,1859,1136,2,7,1,39,51,https://www.instagram.com/reel/DQ1uaTFiuJN/,18099347788776274
