published,caption,views,reach,saved,shares,comments,likes,total_interactions,permalink,media_id
2026-08-09T14:58:25+0000,Everyone walked into Michael expecting the King of Pop.,43,36,0,0,0,2,2,https://www.instagram.com/reel/Db0tIwrhlbX/,18113487262983637
2026-08-05T12:50:26+0000,"Everyone searched ""Leave the World Behind ending explained.""",167,159,0,0,1,5,6,https://www.instagram.com/reel/DbqLFEex_sz/,18389128723206842
2026-07-31T20:28:16+0000,"Everyone thinks The Matrix asks one question: ""What is real?""",375,335,1,1,2,6,10,https://www.instagram.com/reel/DbeHvp1OD03/,17928547305367073
2026-07-27T20:16:16+0000,Most people think Thunderbolts is another superhero movie.,586,539,2,0,0,11,13,https://www.instagram.com/reel/DbTzNKUuMjb/,17923517352402400
2026-07-21T20:47:00+0000,Everyone thinks Star Wars is a story about the future.,139,116,0,0,1,6,7,https://www.instagram.com/reel/DbEZ35VBMTX/,18058733453773983
2026-07-12T21:00:34+0000,Most people see 28 Years Later as a zombie movie.,143,122,0,0,0,7,7,https://www.instagram.com/reel/DatQSjMBi1z/,18110731330750720
2026-07-09T10:01:07+0000,Everyone talked about the sharks in Gladiator II.,630,573,1,1,2,10,14,https://www.instagram.com/reel/DakWeqLhOX9/,17913920190222733
2026-07-06T19:17:44+0000,"Dune takes place 20,000 years in the future.",268,218,0,1,2,9,13,https://www.instagram.com/reel/Dadnus2B0y4/,17877621609615148
2026-06-29T12:05:38+0000,Many people think Bugonia is an original movie.,785,660,5,13,0,13,31,https://www.instagram.com/reel/DaK0ybVuA0n/,18059259755727613
2026-06-27T15:54:18+0000,**Description**,151,132,0,0,0,4,4,https://www.instagram.com/reel/DaGFSbhBsW_/,17945547840230456
2026-06-22T17:48:27+0000,Most people see Fantastic Four as a story about stopping Galactus.,1235,995,3,0,1,42,46,https://www.instagram.com/reel/DZ5aRt7Qa9q/,18166654825447377
2026-06-20T12:37:05+0000,Most people think Mickey 17 is about cloning.,1408,1105,13,7,1,49,72,https://www.instagram.com/reel/DZztGhCBhkf/,18120974959666328
2026-06-18T09:38:42+0000,Everyone thinks Sinners is a vampire movie.,162,124,0,0,1,7,9,https://www.instagram.com/reel/DZuOxdnhhyT/,17881555827446806
2026-06-16T06:42:47+0000,Everyone talks about the cameos in Deadpool & Wolverine.,1813,1358,1,2,0,48,51,https://www.instagram.com/reel/DZoxhnavdQt/,18152655349433900
2026-06-13T13:33:11+0000,Everyone talks about Brad Pitt driving the car.,203,139,0,0,0,7,7,https://www.instagram.com/reel/DZhyEUNhocY/,18105651328823930
2026-06-12T14:51:10+0000,Most people remember Imhotep as one of the first great CGI villains.,43,14,0,0,0,6,6,https://www.instagram.com/reel/DZfWJFZIddF/,18079952585225907
2026-06-11T15:49:31+0000,Everyone talks about Rocky.,96,61,0,0,0,5,5,https://www.instagram.com/reel/DZc3_45JiDL/,18187593031377478
2026-06-10T17:11:35+0000,Jurassic Park is over 30 years old.,,,,,,,,https://www.instagram.com/reel/DZacshKNeOX/,18095716195973444
