title,published,views,engaged_views,minutes_watched,avg_view_pct,likes,shares,subs_gained
The Hidden Trick Behind Project Hail Mary's Most Realistic Scene,2026-06-22T21:02:30Z,2206,1073,636,70.48,48,0,0
Marvel Finally Broke Its Biggest Rule,2026-08-05T18:55:20Z,1669,736,324,56.46,41,1,1
The Void Was Filled With Marvel's Past  #moviefacts,2026-06-26T18:48:00Z,1584,562,309,75.37,40,1,0
The Craziest Thing About F1? They Filmed During Real Races. #behindthescenes #filmmaking #vfx,2026-06-24T22:10:37Z,1274,665,420,89.98,17,0,0
The Real Reason Jurassic Park Still Looks Better Today,2026-06-20T21:22:56Z,1257,563,254,54.40999999999999,40,0,1
Star Wars Was Never About the Future,2026-08-28T20:02:29Z,1228,585,363,68.69,33,1,1
Fantastic Four Isn't Really About Saving the World,2026-07-06T19:18:30Z,1178,559,457,82.04,30,0,3
La La Land Isn't Really About Heartbreak,2026-07-08T19:20:23Z,1174,536,381,69.85,40,1,0
The Real Message of Mickey 17,2026-06-30T17:59:21Z,1005,547,346,60.25,32,1,1
Why Michael Refuses to Make Joe Jackson a Villain,2026-08-11T19:14:25Z,970,475,222,58.45,24,2,3
The Real Meaning Behind Sinners,2026-06-28T07:59:52Z,929,524,426,66.74,55,3,4
Bugonia Is A Remake... But It Doesn't Feel Like One,2026-07-10T10:02:09Z,533,245,86,36.63,7,1,0
Dune's Future Has No Computers. Here's Why That's Genius.,2026-07-13T22:16:29Z,87,42,24,59.5,4,0,0
Danny Boyle Says It's Not A Zombie Movie,2026-07-27T20:26:03Z,65,10,3,41.34,1,0,0
Did Romans Really Flood the Colosseum?,2026-07-21T21:02:25Z,59,27,9,43.29,0,0,0
